,Rank,movie_title,year,star_cast,Rating,votes,link
34,35,Chupke Chupke,1975,"Hrishikesh Mukherjee (dir.), Dharmendra, Sharmila Tagore",8.23702246523183,11968,https://www.imdb.com/title/tt0072783/
35,36,Iruvar,1997,"Mani Ratnam (dir.), Mohanlal, Prakash Raj",8.23546128655998,5422,https://www.imdb.com/title/tt0119385/
36,37,Spadikam,1995,"Bhadran (dir.), Mohanlal, Thilakan",8.234546344278009,5176,https://www.imdb.com/title/tt0292246/
37,38,Agent Sai Srinivasa Athreya,2019,"Swaroop Rsj (dir.), Naveen Polishetty, Shruti Sharma",8.230352687882796,10427,https://www.imdb.com/title/tt10214826/
38,39,Super Deluxe,2019,"Thiagarajan Kumararaja (dir.), Vijay Sethupathi, Samantha Akkineni",8.226737106311978,11641,https://www.imdb.com/title/tt7019942/
39,40,Drishyam,2013,"Jeethu Joseph (dir.), Mohanlal, Meena",8.2156054350614,36873,https://www.imdb.com/title/tt3417422/
40,41,Mahanati,2018,"Nag Ashwin (dir.), Keerthy Suresh, Dulquer Salmaan",8.21414393399304,10634,https://www.imdb.com/title/tt7465992/
41,42,Aruvi,2016,"Arun Prabhu Purushothaman (dir.), Aditi Balan, Padmashri Mohammad Ali",8.212977550830196,11876,https://www.imdb.com/title/tt5867800/
42,43,Vikram Vedha,2017,"Gayatri (dir.), Madhavan, Vijay Sethupathi",8.211779952672025,31910,https://www.imdb.com/title/tt6148156/
43,44,Tumbbad,2018,"Rahi Anil Barve (dir.), Sohum Shah, Jyoti Malshe",8.205764166499701,34128,https://www.imdb.com/title/tt8239946/
44,45,Khosla Ka Ghosla!,2006,"Dibakar Banerjee (dir.), Anupam Kher, Boman Irani",8.205747661288694,22816,https://www.imdb.com/title/tt0466460/
45,46,Pudhu Pettai,2006,"K. Selvaraghavan (dir.), Dhanush, Sneha",8.193864228300283,5577,https://www.imdb.com/title/tt0459516/
46,47,Premam,2015,"Alphonse Puthren (dir.), Nivin Pauly, Sai Pallavi",8.183768651696534,18580,https://www.imdb.com/title/tt4679210/
